schlcode,classid,c_size,classize,avgverb,avgmath,instrument,avg4_verb,avg4_math
51071,1,39,39,74.08,62.95,39.0,81.05618258389559,75.67762614104707
51072,1,38,38,75.34,66.37,38.0,69.13999938964844,68.66000366210938
51073,1,35,25,74.26,64.16,35.0,70.0,57.0
51074,1,35,35,78.31,67.03,35.0,72.4800033569336,67.33999633789062
51075,1,73,37,73.66,68.46,36.5,69.22824484841865,61.10315751192863
51075,2,73,36,74.41035,69.651726,36.5,69.22824484841865,61.10315751192863
51076,1,69,32,74.58,67.77,34.5,75.68000030517578,70.88470892812691
51076,2,69,37,78.71,67.97,34.5,75.68000030517578,70.88470892812691
51077,1,103,35,76.8,61.83,34.333333333333336,70.99999915228949,67.00000226056135
51077,2,103,35,81.09,72.88,34.333333333333336,70.99999915228949,67.00000226056135
51077,3,103,33,70.77,65.5,34.333333333333336,70.99999915228949,67.00000226056135
51078,1,47,25,79.9,68.15,23.5,66.0544661113194,70.37517670222691
51078,2,47,22,80.1,69.85,23.5,66.0544661113194,70.37517670222691
51079,1,53,28,71.11,57.07,26.5,60.66470636106005,54.31490236170151
51079,2,53,25,65.4,55.44,26.5,60.66470636106005,54.31490236170151
51080,2,76,39,76.0,66.51,38.0,76.52573732469902,68.65047575935485
51080,1,76,38,74.054054,67.49,38.0,76.52573732469902,68.65047575935485
51081,1,49,24,76.65,68.39,24.5,77.44701856247922,70.19000081813081
51081,2,49,29,77.3,75.33,24.5,77.44701856247922,70.19000081813081
51082,1,27,27,77.0,72.0,27.0,68.69000244140625,65.66999816894531
51083,1,74,37,83.72,72.54,37.0,82.01264278368018,75.3959078355269
51083,2,74,37,83.06,80.78,37.0,82.01264278368018,75.3959078355269
51084,1,85,37,76.67,64.5,28.333333333333332,79.0,74.0
51084,2,85,37,80.39,67.08,28.333333333333332,79.0,74.0
51085,1,39,39,76.09,60.17,39.0,69.05999755859375,64.12999725341797
51086,2,44,23,81.74,75.7,22.0,80.43806859066612,71.61936442057292
51086,1,44,21,75.99905,67.94762,22.0,80.43806859066612,71.61936442057292
51087,1,28,28,76.62,64.82,28.0,70.19000244140625,66.0
51088,1,57,26,79.54,70.69,28.5,77.36636144464666,70.82608629309613
51088,2,57,31,80.39867,71.26867,28.5,77.36636144464666,70.82608629309613
